source_candidate_id	normalized_lemma	pos	yaitron_entry_id	translation_en	similar_translations_en	headword_entry_count	headword_pos_values	translation_zh_tw_candidate	candidate_status
th5000-cand-20260708-0340	ลาด	v	6969	pave	cover; concrete; tile; surface	3	v	鋪路	authored_needs_review
th5000-cand-20260708-0343	ด้าน	n	33731	side		4	adj;n	邊	authored_needs_review
th5000-cand-20260708-0346	ที่จะ	conj	24594	that		1	conj	那	authored_needs_review
th5000-cand-20260708-0349	เฉ	v	27701	slant	deviate; distort; twist away; out of shape	3	adj;adv;v	傾斜	authored_needs_review
th5000-cand-20260708-0353	โรง	n	2901	building	house	1	n	大樓	authored_needs_review
th5000-cand-20260708-0356	ทน	v	23570	be durable	be strong; stand	2	v	耐用	authored_needs_review
th5000-cand-20260708-0359	โอกาส	n	3456	opportunity	chance	4	n	機會	authored_needs_review
th5000-cand-20260708-0362	อ่า	v	19326	decorate	deck out; dress	1	v	裝飾	authored_needs_review
th5000-cand-20260708-0366	ชม	v	33446	see	watch; look	2	v	看見	authored_needs_review
th5000-cand-20260708-0371	อื่น	adj	8300	another		1	adj	另一個	authored_needs_review
th5000-cand-20260708-0376	เกิด	v	9852	happen	occur; take place; arise; produce	2	v	發生	authored_needs_review
th5000-cand-20260708-0380	มล	n	28197	rust		3	adj;n	鐵鏽	authored_needs_review
th5000-cand-20260708-0383	เพราะ	adj	15055	melodious	tuneful	2	adj;conj	悠揚	authored_needs_review
th5000-cand-20260708-0387	หลัก	n	36042	principal	main; chief; major	6	adj;n	主要部分	authored_needs_review
th5000-cand-20260708-0392	เชื่อ	v	28658	believe in	have faith in	3	v	相信	authored_needs_review
th5000-cand-20260708-0395	เจ้า	n	23698	god	Godness; angel	3	n;pron	神	authored_needs_review
th5000-cand-20260708-0399	ฐาน	n	29013	base	station; platform	4	conj;n	基座	authored_needs_review
th5000-cand-20260708-0404	ประสบการณ์	n	27609	experience		1	n	經歷	authored_needs_review
th5000-cand-20260708-0409	เหมา	n	7876	Year of the Rabbit		3	n;v	兔年	authored_needs_review
th5000-cand-20260708-0412	รางวัล	n	9316	prize	award; trophy; reward; accolade	1	n	獎品	authored_needs_review
th5000-cand-20260708-0417	แปล	v	16613	translate	interpret; decode	1	v	翻譯	authored_needs_review
th5000-cand-20260708-0421	พบ	v	14011	meet	encounter; come across; see	2	v	遇見	authored_needs_review
th5000-cand-20260708-0424	ล้า	v	6962	be exhausted	be tired; be fatigued; be weary; be worn out	1	v	筋疲力盡	authored_needs_review
th5000-cand-20260708-0427	กำลัง	n	30373	circumference of the tree		4	aux;n	樹的周長	authored_needs_review
th5000-cand-20260708-0430	ขนาด	n	32256	size	magnitude; dimension; proportion; measure; calibre	1	n	尺寸	authored_needs_review
th5000-cand-20260708-0433	จ่าย	v	33147	distribute	disburse; divide	2	v	分發	authored_needs_review
th5000-cand-20260708-0436	แห่	n	7930	parade	procession; array; cavalcade	2	n;v	遊行	authored_needs_review
th5000-cand-20260708-0439	ตน	n	34037	oneself	self	2	clas;n	自己	authored_needs_review
th5000-cand-20260708-0443	จำนวน	n	33176	amount	quantity; sum	1	n	數量	authored_needs_review
th5000-cand-20260708-0448	ชั้น	n	28102	class	grade; level; degree; rate; caste; series; row; rank	5	clas;n	類	authored_needs_review
th5000-cand-20260708-0452	ถาน	n	23342	monk's water closet	monk's toilet; monk's latrine/lavatory	1	n	和尚的廁所	authored_needs_review
th5000-cand-20260708-0456	นิยม	n	25375	principle	theory; doctrine	2	n	原理	authored_needs_review
th5000-cand-20260708-0459	คู	n	12203	ditch	gutter; trench; moat; irrigation canal	2	adv;n	溝	authored_needs_review
th5000-cand-20260708-0464	กฎ	n	29335	rule	ordinance; regulation; axiom; principle	2	n	規則	authored_needs_review
th5000-cand-20260708-0468	เหมาะ	v	7877	be suitable for	fit; be appropriate; be proper	1	v	適合於	authored_needs_review
th5000-cand-20260708-0473	สาว	n	7580	girl	maiden; maid; lass; lassie; miss; damsel	3	adj;n;v	女孩	authored_needs_review
th5000-cand-20260708-0482	แทง	v	11907	stab	pierce; knife; jab	3	v	刺	authored_needs_review
th5000-cand-20260708-0486	วาร	n	18201	day		1	n	日	authored_needs_review
th5000-cand-20260708-0490	ปอ	n	13063	dragonfly		2	n	蜻蜓	authored_needs_review
th5000-cand-20260708-0495	ตำ	v	21496	pound	pestle	2	v	搗碎	authored_needs_review
th5000-cand-20260708-0500	กรุงเทพมหานคร	n	30115	Bangkok	Krung Thep; Krung Thep Maha Nakhon; Bangkok Metropolis	1	n	曼谷	authored_needs_review
th5000-cand-20260708-0507	บด	v	25449	grind	crush; pulverize; roll	1	v	磨	authored_needs_review
th5000-cand-20260708-0510	ตรวจ	v	34119	check	censor; inspect; examine	4	v	檢查	authored_needs_review
th5000-cand-20260708-0514	รุ่น	n	16136	age	generation; period; time	2	adj;n	年齡	authored_needs_review
th5000-cand-20260708-0520	การก	n	31777	doer	producer	2	n	做事的人	authored_needs_review
th5000-cand-20260708-0523	นานา	det	25061	many	various; diversified; different; numerous	1	det	許多	authored_needs_review
th5000-cand-20260708-0527	รัฐ	n	9337	state	country; nation; territory; realm; kingdom; land	1	n	國家	authored_needs_review
th5000-cand-20260708-0531	โพ	n	15161	bo tree	bothi tree; pipal tree	1	n	菩提樹	authored_needs_review
th5000-cand-20260708-0535	แนะนำ	v	38762	introduce		1	v	介紹	authored_needs_review
th5000-cand-20260708-0538	กลุ่ม	n	31310	group	bloc; community; crowd; assemblage; covey; bevy	2	clas;n	組	authored_needs_review
th5000-cand-20260708-0541	จุด	n	33279	spot	dot; speck; stain; blot	4	n;v	斑點	authored_needs_review
th5000-cand-20260708-0544	นานาชาติ	n	25062	various nations	all the nations; various countries; all the countries	2	adj;n	各國	authored_needs_review
th5000-cand-20260708-0547	คุณภาพ	n	12342	quality	value; worth	1	n	品質	authored_needs_review
th5000-cand-20260708-0552	เสริม	v	12003	support	promote; back; encourage; boost; help	2	v	支持	authored_needs_review
th5000-cand-20260708-0555	ชีวิต	n	28466	life	existence; living	1	n	生活	authored_needs_review
th5000-cand-20260708-0558	ช่วง	n	33473	period	section; part; interval; span	1	n	期間	authored_needs_review
th5000-cand-20260708-0565	ชั่ว	adj	27918	bad	evil; wicked; vile; vicious	3	adj;adv;prep	壞	authored_needs_review
th5000-cand-20260708-0568	ลงทุน	v	17437	invest		1	v	投資	authored_needs_review
th5000-cand-20260708-0571	ทันที	adv	24787	immediately	at once; right away, promptly; instantly; forthwith; suddenly; quickly	1	adv	立即	authored_needs_review
th5000-cand-20260708-0574	จัดการ	v	33060	manage	deal; handle; arrange; take charge of	1	v	管理	authored_needs_review
th5000-cand-20260708-0579	ดุ	adj	33903	fierce	ferocious; unfriendly	1	adj	兇猛	authored_needs_review
th5000-cand-20260708-0584	โก	n	32146	elder brother		1	n	哥哥	authored_needs_review
th5000-cand-20260708-0588	ท้า	v	24728	defy	challenge; dare; provoke	1	v	反抗	authored_needs_review
th5000-cand-20260708-0592	รองรับ	v	529	support	bear; prop	1	v	支持	authored_needs_review
th5000-cand-20260708-0595	ซิ	part	28831	particle	a particle used an intensive to modify a verb in the imperative mood	1	end	語氣助詞	authored_needs_review
th5000-cand-20260708-0600	ตอนที่	adp	21656	when	while; as	1	prep	當	authored_needs_review
th5000-cand-20260708-0603	ธุรกิจ	n	34846	business	trade; commerce; traffic	1	n	業務	authored_needs_review
th5000-cand-20260708-0606	กำไร	n	30372	profit	gain; benefit; advantage	1	n	利潤	authored_needs_review
th5000-cand-20260708-0610	กอบ	n	31451	an amount of two handfuls		2	n;v	兩捧的量	authored_needs_review
th5000-cand-20260708-0613	นาม	n	25087	name	appellation; title	2	n	名稱	authored_needs_review
th5000-cand-20260708-0617	ค้น	v	10692	seek	search for; hunt for; seek for; look into; look for; look up; investigate	1	v	尋求	authored_needs_review
th5000-cand-20260708-0622	การศึก	n	30868	war	battle; conflict; combat; fight; campaign	1	n	戰爭	authored_needs_review
th5000-cand-20260708-0626	ทบ	v	23581	fold		3	clas;v	折疊	authored_needs_review
th5000-cand-20260708-0633	สูต	n	20322	driver		1	n	司機	authored_needs_review
th5000-cand-20260708-0637	ชุม	v	28524	abound	be plentiful; be abundant; be ample	2	v	充裕	authored_needs_review
th5000-cand-20260708-0642	แม้	conj	2836	though	although; even though; if	2	conj	雖然	authored_needs_review
th5000-cand-20260708-0646	มัย	n	16357	horse	mule	2	n	馬	authored_needs_review
th5000-cand-20260708-0650	สั่ง	v	39568	order	command; give/issue orders; direct; instruct	3	v	命令	authored_needs_review
th5000-cand-20260708-0655	โครงการ	n	12706	project	plan; task; scheme	1	n	專案	authored_needs_review
th5000-cand-20260708-0659	ออกแบบ	v	6742	design		1	v	設計	authored_needs_review
th5000-cand-20260708-0664	แท้	adj	8474	pure	unadultered; unmixed; authentic; genuine; real; natural; unalloyed	6	adj;adv	純	authored_needs_review
th5000-cand-20260708-0667	จำเป็น	v	33188	have to	must; need to	1	aux	必須	authored_needs_review
th5000-cand-20260708-0672	ไต	n	23116	wen	hard tissue	2	n	贅生硬組織	authored_needs_review
th5000-cand-20260708-0676	ระยะ	n	4918	phase	space	2	n	階段	authored_needs_review
th5000-cand-20260708-0680	การเงิน	n	31943	finance	monetary matters	1	n	金融	authored_needs_review
th5000-cand-20260708-0686	แต่ละ	det	23070	each		1	det	每個	authored_needs_review
th5000-cand-20260708-0689	หมู่	n	38944	group	party	3	clas;n	組	authored_needs_review
th5000-cand-20260708-0692	เสี่ย	n	35866	wealthy Chinese	rich man	1	n	富有的中國人	authored_needs_review
th5000-cand-20260708-0695	นภา	n	34911	sky	firmament; atmosphere	1	n	天空	authored_needs_review
th5000-cand-20260708-0702	โซ	v	28891	be thin	be bony; be skinny	4	adj;v	瘦	authored_needs_review
th5000-cand-20260708-0705	ระหว่าง	adv	5818	during	meanwhile; meantime; in the meantime	4	adv;prep	期間	authored_needs_review
th5000-cand-20260708-0709	ดำเนิน	v	38187	proceed	walk; go on foot; go	1	v	行進	authored_needs_review
th5000-cand-20260708-0713	กล่าว	v	31274	deliver a speech	make a speech	2	v	致辭	authored_needs_review
th5000-cand-20260708-0716	ชัน	n	28107	dammar	resin	5	adj;n;v	達瑪樹脂	authored_needs_review
th5000-cand-20260708-0720	ตบ	v	34082	slap	swat; pat; beat	1	v	拍打	authored_needs_review
th5000-cand-20260708-0724	วัง	n	7060	palace	royal residence	1	n	宮殿	authored_needs_review
th5000-cand-20260708-0728	ราว	n	9319	clothesline	cloth-pole	3	adv;n	曬衣繩	authored_needs_review
th5000-cand-20260708-0731	ปริ	v	27393	split	tear; burst; part; open slightly; crack open	1	v	分裂	authored_needs_review
th5000-cand-20260708-0735	โหล	n	6685	widemouthed glass jar		4	adj;clas;n	廣口玻璃罐	authored_needs_review
th5000-cand-20260708-0739	ถม	n	23188	niello ware		2	n;v	烏銀器	authored_needs_review
th5000-cand-20260708-0743	ฟอร์ม	n	15277	ability		5	n;v	能力	authored_needs_review
th5000-cand-20260708-0746	เหล่	v	36560	stare	gaze	2	adj;v	凝視	authored_needs_review
th5000-cand-20260708-0749	เท่านั้น	adv	38759	only	merely; simply	1	adv	只	authored_needs_review
th5000-cand-20260708-0753	ขั้นต่ำ	n	10365	minimum		2	adj;n	最小值	authored_needs_review
th5000-cand-20260708-0758	ไฟฟ้า	n	9581	electricity	electric current	1	n	電力	authored_needs_review
th5000-cand-20260708-0762	นโยบาย	n	34928	policy	principle; plan; method; system; strategy	1	n	政策	authored_needs_review
th5000-cand-20260708-0765	คลิก	adv	32557	click		1	adv	喀噠一聲	authored_needs_review
th5000-cand-20260708-0768	เคราะห์	n	12498	fate	luck; fortune; chance	1	n	命運	authored_needs_review
th5000-cand-20260708-0773	ศูนย์	n	3002	centre		7	n;v	中心	authored_needs_review
th5000-cand-20260708-0776	คลิป	n	32559	clip	bulldog clip; paper clip	1	n	夾子	authored_needs_review
th5000-cand-20260708-0779	แก้ไข	v	32072	solve	resolve	3	v	解決	authored_needs_review
th5000-cand-20260708-0782	ลื่อ	n	17837	child of great-grandchild	great-great grandchild; child of grandnephew	1	n	曾孫的孩子	authored_needs_review
th5000-cand-20260708-0786	รติ	n	26270	love	sexual passion; affection	2	n	愛	authored_needs_review
th5000-cand-20260708-0789	มาตรฐาน	n	11938	standard	criterion	1	n	標準	authored_needs_review
th5000-cand-20260708-0792	สมอ	n	18686	anchor		4	n	錨	authored_needs_review
th5000-cand-20260708-0796	ปฏิบัติ	v	27213	minister	look after	4	v	照料	authored_needs_review
th5000-cand-20260708-0799	วะ	part	4760	word used at the end of a statement among friends but not politely		1	end	朋友間用於句尾的非敬語助詞	authored_needs_review
th5000-cand-20260708-0804	มหาวิทยาลัย	n	30961	university		1	n	大學	authored_needs_review
th5000-cand-20260708-0808	นอง	v	35005	flood	deluge; inundation; overflow	1	v	淹沒	authored_needs_review
th5000-cand-20260708-0811	อัตโนมัติ	adj	19363	automatic	auto	2	adj;adv	自動	authored_needs_review
th5000-cand-20260708-0814	ความสนุก	n	32925	amusement	pleasure	1	n	娛樂	authored_needs_review
th5000-cand-20260708-0817	ด้ง	n	29047	shallow tray	large flat	2	n	淺托盤	authored_needs_review
th5000-cand-20260708-0820	ศัพท์	n	18465	vocabulary	word; term; glossary; terminology	1	n	詞彙	authored_needs_review
th5000-cand-20260708-0824	เนื่องจาก	conj	3646	because	as; since; due to the fact that	1	conj	因為	authored_needs_review
th5000-cand-20260708-0828	การพนัน	n	30690	gamble	bet; wager; game	1	n	賭博	authored_needs_review
th5000-cand-20260708-0832	จ้าง	v	38420	employ	hire	1	v	僱用	authored_needs_review
th5000-cand-20260708-0836	นอกจากนี้	conj	34986	besides	other than; except; in addition to; moreover; furthermore; beyond	1	conj	此外	authored_needs_review
th5000-cand-20260708-0842	ซา	v	28788	moderate	diminish; let up; calm down; relief	1	v	緩和	authored_needs_review
th5000-cand-20260708-0845	เด็ด	v	20993	pick	pluck; nip off; take away; pinch off	3	adj;adv;v	挑選	authored_needs_review
th5000-cand-20260708-0849	ล้าน	n	12100	million		2	adj;n	一百萬	authored_needs_review
th5000-cand-20260708-0852	ยุค	n	9403	age	era; period; times	1	n	時代	authored_needs_review
th5000-cand-20260708-0857	น่าสนใจ	v	25181	be interesting	be remarkable; be concerned	2	adj;v	有趣	authored_needs_review
th5000-cand-20260708-0861	รู้สึก	v	6858	feel	touch	1	v	感覺	authored_needs_review
th5000-cand-20260708-0864	เอกสาร	n	19730	document	paper	1	n	文件	authored_needs_review
th5000-cand-20260708-0867	จอง	v	38386	reserve	book; hold	1	v	保留	authored_needs_review
th5000-cand-20260708-0870	ควบ	v	32607	gallop	ride	3	v	馳騁	authored_needs_review
th5000-cand-20260708-0875	รัว	n	4930	kind of Thai musical music		3	adv;n;v	一種泰國音樂	authored_needs_review
th5000-cand-20260708-0878	เชื่อถือ	v	28677	trust	have faith in; rely on; confide in; respect; admire; look up to	1	v	信任	authored_needs_review
th5000-cand-20260708-0882	บ้าง	pron	25756	else		1	pron	其他人	authored_needs_review
th5000-cand-20260708-0886	เหนือ	n	7861	north		3	adv;n;prep	北	authored_needs_review
th5000-cand-20260708-0890	กะ	n	31469	shift	turn; duty	2	n;v	輪班	authored_needs_review
th5000-cand-20260708-0894	หน่วย	n	7617	division	unit; group; department	4	clas;n	部門	authored_needs_review
th5000-cand-20260708-0898	ญี่ปุ่น	n	29112	Japan		1	n	日本	authored_needs_review
th5000-cand-20260708-0903	แข่งขัน	v	10641	race	contest; compete; contend	1	v	比賽	authored_needs_review
th5000-cand-20260708-0907	สติ	n	18591	consciousness	sense; mind	1	n	意識	authored_needs_review
th5000-cand-20260708-0910	ปน	v	27357	mix	adulterate; mingle; be mixed; blend	1	v	混合	authored_needs_review
th5000-cand-20260708-0914	ความต้องการ	n	32760	requirement	demand; need; want	1	n	要求	authored_needs_review
th5000-cand-20260708-0917	ความสะดวก	n	11503	convenience	facility; easiness; smoothness; expedience                                                                                                                       facility; expedience	1	n	方便	authored_needs_review
th5000-cand-20260708-0922	เตรียม	v	34222	prepare	get ready; make ready; organize; arrange	1	v	準備	authored_needs_review
th5000-cand-20260708-0926	ย่น	v	9185	shorten	save; reduce; cut down; diminish; lessen	3	v	縮短	authored_needs_review
th5000-cand-20260708-0929	โดยเฉพาะ	adv	21161	specially	especially; particularly; specifically	1	adv	特別地	authored_needs_review
th5000-cand-20260708-0932	แสง	n	3398	light		2	n	光	authored_needs_review
th5000-cand-20260708-0935	หญิง	n	7613	female	woman; lady; mistress; girl	1	n	女	authored_needs_review
th5000-cand-20260708-0938	ทรัพย์	n	24343	property	wealth; money; assets; possessions; treasures; riches; things; effects	1	n	財產	authored_needs_review
th5000-cand-20260708-0941	วิจัย	n	7177	research	study; probe	2	n;v	研究	authored_needs_review
th5000-cand-20260708-0947	ให้การ	v	6687	give testimony	give evidence; testify; depose; be an witness	1	v	作證	authored_needs_review
th5000-cand-20260708-0950	ยาม	n	17146	time	hour; period; juncture	3	n	時間	authored_needs_review
th5000-cand-20260708-0954	ลี้	v	6075	flee	hide; escape; slip away	2	clas;v	逃離	authored_needs_review
th5000-cand-20260708-0957	ให้เช่า	v	38084	rent out	let (UK)	2	v	出租	authored_needs_review
th5000-cand-20260708-0960	ทำความ	v	24546	make a quarrel	to make charges against; cause trouble	1	v	吵架	authored_needs_review
th5000-cand-20260708-0964	การฝาก	n	30679	entrustment	deposit; leaving; commendation; recommendation; placing	1	n	委託	authored_needs_review
th5000-cand-20260708-0968	ธนาคาร	n	34726	bank		1	n	銀行	authored_needs_review
th5000-cand-20260708-0971	แหล่	n	36672	chapter	episode in the story of the last incarnation of the Buddha	3	adv;n;v	章	authored_needs_review
th5000-cand-20260708-0977	ผ่อน	v	16865	slacken	relax; loosen; abate	1	v	放鬆	authored_needs_review
th5000-cand-20260708-0981	ทรง	n	23598	form	figure; stature; model; shape	4	n;v	形狀	authored_needs_review
th5000-cand-20260708-0985	ในประเทศ	adj	4362	domestic	local; in the country	1	adj	國內	authored_needs_review
th5000-cand-20260708-0989	เหล่านี้	pron	7884	these		1	pron	這些	authored_needs_review
th5000-cand-20260708-0994	หลุด	v	7762	lose one's right		2	v	失去權利	authored_needs_review
th5000-cand-20260708-0998	ยาน	n	9366	spaceship	spacecraft	2	n;v	太空船	authored_needs_review
th5000-cand-20260708-1002	คด	v	10771	curve	bend; crook	2	v	彎曲	authored_needs_review
th5000-cand-20260708-1005	เข้าร่วม	v	10999	join	participate; attend; cooperate	1	v	加入	authored_needs_review
th5000-cand-20260708-1008	สะดวกสบาย	v	38470	convenient	easy; comfortable	3	adv;v	方便	authored_needs_review
th5000-cand-20260708-1013	เซ็น	v	28911	sign		1	v	簽名	authored_needs_review
th5000-cand-20260708-1016	ล่อง	n	6009	space or hole (between floor board)		5	adj;n;v	地板板材間的縫隙	authored_needs_review
th5000-cand-20260708-1019	มีโอกาส	v	2300	be likely	could	1	v	很可能	authored_needs_review
th5000-cand-20260708-1023	เพียงแค่	adv	40432	only	just	1	adv	只	authored_needs_review
th5000-cand-20260708-1027	คัด	v	11669	select	pick; choose; assort	5	adj;v	選擇	authored_needs_review
th5000-cand-20260708-1031	การชนะ	n	37613	winning	overcoming; conquering; conquest; defeating; coming first	1	n	勝利	authored_needs_review
th5000-cand-20260708-1034	กู	pron	9673	I	me	1	pron	我	authored_needs_review
th5000-cand-20260708-1037	หรือไม่	part	37496	or not		2	ques	是否	authored_needs_review
th5000-cand-20260708-1041	สระ	n	18726	pool	pond; reservoir	3	n;v	池	authored_needs_review
th5000-cand-20260708-1044	โปรด	v	16687	love	like; be fond of	4	adj;aux;v	愛	authored_needs_review
th5000-cand-20260708-1049	หลวง	n	6586	title of respect shown to elderly relatives while in the Buddhist monkhood		4	adj;n	出家時對年長親屬的尊稱	authored_needs_review
th5000-cand-20260708-1052	เทียบ	v	8397	compare with	bear comparison with	6	clas;v	相比	authored_needs_review
th5000-cand-20260708-1056	ผลงาน	n	16783	works		2	n	作品	authored_needs_review
th5000-cand-20260708-1059	พนัก	n	13990	backrest	back of a chair	1	n	靠背	authored_needs_review
th5000-cand-20260708-1064	ทดสอบ	v	23568	test		2	v	測試	authored_needs_review
