"source_candidate_id"	"verdict"	"current_translation_zh_tw"	"suggested_translation_zh_tw"	"reason"
"th5000-cand-20260708-0238"	"PASS"	"接收"	""	""
"th5000-cand-20260708-0241"	"PASS"	"城市"	""	""
"th5000-cand-20260708-0247"	"PASS"	"自願"	""	""
"th5000-cand-20260708-0256"	"PASS"	"最"	""	""
"th5000-cand-20260708-0260"	"PASS"	"樓層"	""	""
"th5000-cand-20260708-0266"	"PASS"	"佛像"	""	""
"th5000-cand-20260708-0270"	"PASS"	"女人"	""	""
"th5000-cand-20260708-0277"	"PASS"	"轎子"	""	""
"th5000-cand-20260708-0282"	"PASS"	"生命"	""	""
"th5000-cand-20260708-0285"	"PASS"	"窮"	""	""
"th5000-cand-20260708-0290"	"PASS"	"大"	""	""
"th5000-cand-20260708-0296"	"PASS"	"打賭"	""	""
"th5000-cand-20260708-0301"	"PASS"	"輪"	""	""
"th5000-cand-20260708-0308"	"PASS"	"事件"	""	""
"th5000-cand-20260708-0312"	"PASS"	"神"	""	""
"th5000-cand-20260708-0315"	"PASS"	"天溝"	""	""
"th5000-cand-20260708-0318"	"PASS"	"資本"	""	""
"th5000-cand-20260708-0324"	"PASS"	"檁條"	""	""
"th5000-cand-20260708-0328"	"PASS"	"考試"	""	""
"th5000-cand-20260708-0331"	"PASS"	"令狀"	""	""
"th5000-cand-20260708-0336"	"PASS"	"消退"	""	""
"th5000-cand-20260708-0340"	"PASS"	"鋪路"	""	""
"th5000-cand-20260708-0343"	"PASS"	"邊"	""	""
"th5000-cand-20260708-0346"	"PASS"	"那"	""	""
"th5000-cand-20260708-0349"	"PASS"	"傾斜"	""	""
"th5000-cand-20260708-0353"	"PASS"	"大樓"	""	""
"th5000-cand-20260708-0356"	"PASS"	"耐用"	""	""
"th5000-cand-20260708-0359"	"PASS"	"機會"	""	""
"th5000-cand-20260708-0362"	"PASS"	"裝飾"	""	""
"th5000-cand-20260708-0366"	"PASS"	"看見"	""	""
"th5000-cand-20260708-0371"	"PASS"	"另一個"	""	""
"th5000-cand-20260708-0376"	"PASS"	"發生"	""	""
"th5000-cand-20260708-0380"	"PASS"	"鐵鏽"	""	""
"th5000-cand-20260708-0383"	"PASS"	"悠揚"	""	""
"th5000-cand-20260708-0387"	"PASS"	"主要部分"	""	""
"th5000-cand-20260708-0392"	"PASS"	"相信"	""	""
"th5000-cand-20260708-0395"	"PASS"	"神"	""	""
"th5000-cand-20260708-0399"	"PASS"	"基座"	""	""
"th5000-cand-20260708-0404"	"PASS"	"經歷"	""	""
"th5000-cand-20260708-0409"	"PASS"	"兔年"	""	""
"th5000-cand-20260708-0412"	"PASS"	"獎品"	""	""
"th5000-cand-20260708-0417"	"PASS"	"翻譯"	""	""
"th5000-cand-20260708-0421"	"PASS"	"遇見"	""	""
"th5000-cand-20260708-0424"	"PASS"	"筋疲力盡"	""	""
"th5000-cand-20260708-0427"	"PASS"	"樹的周長"	""	""
"th5000-cand-20260708-0430"	"PASS"	"尺寸"	""	""
"th5000-cand-20260708-0433"	"PASS"	"分發"	""	""
"th5000-cand-20260708-0436"	"PASS"	"遊行"	""	""
"th5000-cand-20260708-0439"	"PASS"	"自己"	""	""
"th5000-cand-20260708-0443"	"PASS"	"數量"	""	""
"th5000-cand-20260708-0448"	"PASS"	"類"	""	""
"th5000-cand-20260708-0452"	"PASS"	"和尚的廁所"	""	""
"th5000-cand-20260708-0456"	"PASS"	"原理"	""	""
"th5000-cand-20260708-0459"	"PASS"	"溝"	""	""
"th5000-cand-20260708-0464"	"PASS"	"規則"	""	""
"th5000-cand-20260708-0468"	"PASS"	"適合於"	""	""
"th5000-cand-20260708-0473"	"PASS"	"女孩"	""	""
"th5000-cand-20260708-0482"	"PASS"	"刺"	""	""
"th5000-cand-20260708-0486"	"PASS"	"日"	""	""
"th5000-cand-20260708-0490"	"PASS"	"蜻蜓"	""	""
"th5000-cand-20260708-0495"	"PASS"	"搗碎"	""	""
"th5000-cand-20260708-0500"	"PASS"	"曼谷"	""	""
"th5000-cand-20260708-0507"	"PASS"	"磨"	""	""
"th5000-cand-20260708-0510"	"PASS"	"檢查"	""	""
"th5000-cand-20260708-0514"	"PASS"	"年齡"	""	""
"th5000-cand-20260708-0520"	"PASS"	"做事的人"	""	""
"th5000-cand-20260708-0523"	"PASS"	"許多"	""	""
"th5000-cand-20260708-0527"	"PASS"	"國家"	""	""
"th5000-cand-20260708-0531"	"PASS"	"菩提樹"	""	""
"th5000-cand-20260708-0535"	"PASS"	"介紹"	""	""
"th5000-cand-20260708-0538"	"PASS"	"組"	""	""
"th5000-cand-20260708-0541"	"PASS"	"斑點"	""	""
"th5000-cand-20260708-0544"	"PASS"	"各國"	""	""
"th5000-cand-20260708-0547"	"PASS"	"品質"	""	""
"th5000-cand-20260708-0552"	"PASS"	"支持"	""	""
"th5000-cand-20260708-0555"	"PASS"	"生活"	""	""
"th5000-cand-20260708-0558"	"PASS"	"期間"	""	""
"th5000-cand-20260708-0565"	"PASS"	"壞"	""	""
"th5000-cand-20260708-0568"	"PASS"	"投資"	""	""
"th5000-cand-20260708-0571"	"PASS"	"立即"	""	""
"th5000-cand-20260708-0574"	"PASS"	"管理"	""	""
"th5000-cand-20260708-0579"	"PASS"	"兇猛"	""	""
"th5000-cand-20260708-0584"	"PASS"	"哥哥"	""	""
"th5000-cand-20260708-0588"	"PASS"	"反抗"	""	""
"th5000-cand-20260708-0592"	"PASS"	"支持"	""	""
"th5000-cand-20260708-0595"	"PASS"	"語氣助詞"	""	""
"th5000-cand-20260708-0600"	"PASS"	"當"	""	""
"th5000-cand-20260708-0603"	"PASS"	"業務"	""	""
"th5000-cand-20260708-0606"	"PASS"	"利潤"	""	""
"th5000-cand-20260708-0610"	"PASS"	"兩捧的量"	""	""
"th5000-cand-20260708-0613"	"PASS"	"名稱"	""	""
"th5000-cand-20260708-0617"	"PASS"	"尋求"	""	""
"th5000-cand-20260708-0622"	"PASS"	"戰爭"	""	""
"th5000-cand-20260708-0626"	"PASS"	"折疊"	""	""
"th5000-cand-20260708-0633"	"PASS"	"司機"	""	""
"th5000-cand-20260708-0637"	"PASS"	"充裕"	""	""
"th5000-cand-20260708-0642"	"PASS"	"雖然"	""	""
"th5000-cand-20260708-0646"	"PASS"	"馬"	""	""
"th5000-cand-20260708-0650"	"PASS"	"命令"	""	""
"th5000-cand-20260708-0655"	"PASS"	"專案"	""	""
"th5000-cand-20260708-0659"	"PASS"	"設計"	""	""
"th5000-cand-20260708-0664"	"PASS"	"純"	""	""
"th5000-cand-20260708-0667"	"PASS"	"必須"	""	""
"th5000-cand-20260708-0672"	"PASS"	"贅生硬組織"	""	""
"th5000-cand-20260708-0676"	"PASS"	"階段"	""	""
"th5000-cand-20260708-0680"	"PASS"	"金融"	""	""
"th5000-cand-20260708-0686"	"PASS"	"每個"	""	""
"th5000-cand-20260708-0689"	"PASS"	"組"	""	""
"th5000-cand-20260708-0692"	"PASS"	"富有的中國人"	""	""
"th5000-cand-20260708-0695"	"PASS"	"天空"	""	""
"th5000-cand-20260708-0702"	"PASS"	"瘦"	""	""
"th5000-cand-20260708-0705"	"PASS"	"期間"	""	""
"th5000-cand-20260708-0709"	"PASS"	"行進"	""	""
"th5000-cand-20260708-0713"	"PASS"	"致辭"	""	""
"th5000-cand-20260708-0716"	"PASS"	"達瑪樹脂"	""	""
"th5000-cand-20260708-0720"	"PASS"	"拍打"	""	""
"th5000-cand-20260708-0724"	"PASS"	"宮殿"	""	""
"th5000-cand-20260708-0728"	"PASS"	"曬衣繩"	""	""
"th5000-cand-20260708-0731"	"PASS"	"分裂"	""	""
"th5000-cand-20260708-0735"	"PASS"	"廣口玻璃罐"	""	""
"th5000-cand-20260708-0739"	"PASS"	"烏銀器"	""	""
"th5000-cand-20260708-0743"	"PASS"	"能力"	""	""
"th5000-cand-20260708-0746"	"PASS"	"凝視"	""	""
"th5000-cand-20260708-0749"	"PASS"	"只"	""	""
"th5000-cand-20260708-0753"	"PASS"	"最小值"	""	""
"th5000-cand-20260708-0758"	"PASS"	"電力"	""	""
"th5000-cand-20260708-0762"	"PASS"	"政策"	""	""
"th5000-cand-20260708-0765"	"PASS"	"喀噠一聲"	""	""
"th5000-cand-20260708-0768"	"PASS"	"命運"	""	""
"th5000-cand-20260708-0773"	"PASS"	"中心"	""	""
"th5000-cand-20260708-0776"	"PASS"	"夾子"	""	""
"th5000-cand-20260708-0779"	"PASS"	"解決"	""	""
"th5000-cand-20260708-0782"	"PASS"	"曾孫的孩子"	""	""
"th5000-cand-20260708-0786"	"PASS"	"愛"	""	""
"th5000-cand-20260708-0789"	"PASS"	"標準"	""	""
"th5000-cand-20260708-0792"	"PASS"	"錨"	""	""
"th5000-cand-20260708-0796"	"PASS"	"照料"	""	""
"th5000-cand-20260708-0799"	"PASS"	"朋友間用於句尾的非敬語助詞"	""	""
"th5000-cand-20260708-0804"	"PASS"	"大學"	""	""
"th5000-cand-20260708-0808"	"PASS"	"淹沒"	""	""
"th5000-cand-20260708-0811"	"PASS"	"自動"	""	""
"th5000-cand-20260708-0814"	"PASS"	"娛樂"	""	""
"th5000-cand-20260708-0817"	"PASS"	"淺托盤"	""	""
"th5000-cand-20260708-0820"	"PASS"	"詞彙"	""	""
"th5000-cand-20260708-0824"	"PASS"	"因為"	""	""
"th5000-cand-20260708-0828"	"PASS"	"賭博"	""	""
"th5000-cand-20260708-0832"	"PASS"	"僱用"	""	""
"th5000-cand-20260708-0836"	"PASS"	"此外"	""	""
"th5000-cand-20260708-0842"	"PASS"	"緩和"	""	""
"th5000-cand-20260708-0845"	"PASS"	"挑選"	""	""
"th5000-cand-20260708-0849"	"PASS"	"一百萬"	""	""
"th5000-cand-20260708-0852"	"PASS"	"時代"	""	""
"th5000-cand-20260708-0857"	"PASS"	"有趣"	""	""
"th5000-cand-20260708-0861"	"PASS"	"感覺"	""	""
"th5000-cand-20260708-0864"	"PASS"	"文件"	""	""
"th5000-cand-20260708-0867"	"PASS"	"保留"	""	""
"th5000-cand-20260708-0870"	"PASS"	"馳騁"	""	""
"th5000-cand-20260708-0875"	"PASS"	"一種泰國音樂"	""	""
"th5000-cand-20260708-0878"	"PASS"	"信任"	""	""
"th5000-cand-20260708-0882"	"PASS"	"其他人"	""	""
"th5000-cand-20260708-0886"	"PASS"	"北"	""	""
"th5000-cand-20260708-0890"	"PASS"	"輪班"	""	""
"th5000-cand-20260708-0894"	"PASS"	"部門"	""	""
"th5000-cand-20260708-0898"	"PASS"	"日本"	""	""
"th5000-cand-20260708-0903"	"PASS"	"比賽"	""	""
"th5000-cand-20260708-0907"	"PASS"	"意識"	""	""
"th5000-cand-20260708-0910"	"PASS"	"混合"	""	""
"th5000-cand-20260708-0914"	"PASS"	"要求"	""	""
"th5000-cand-20260708-0917"	"PASS"	"方便"	""	""
"th5000-cand-20260708-0922"	"PASS"	"準備"	""	""
"th5000-cand-20260708-0926"	"PASS"	"縮短"	""	""
"th5000-cand-20260708-0929"	"PASS"	"特別地"	""	""
"th5000-cand-20260708-0932"	"PASS"	"光"	""	""
"th5000-cand-20260708-0935"	"PASS"	"女"	""	""
"th5000-cand-20260708-0938"	"PASS"	"財產"	""	""
"th5000-cand-20260708-0941"	"PASS"	"研究"	""	""
"th5000-cand-20260708-0947"	"PASS"	"作證"	""	""
"th5000-cand-20260708-0950"	"PASS"	"時間"	""	""
"th5000-cand-20260708-0954"	"PASS"	"逃離"	""	""
"th5000-cand-20260708-0957"	"PASS"	"出租"	""	""
"th5000-cand-20260708-0960"	"PASS"	"吵架"	""	""
"th5000-cand-20260708-0964"	"PASS"	"委託"	""	""
"th5000-cand-20260708-0968"	"PASS"	"銀行"	""	""
"th5000-cand-20260708-0971"	"PASS"	"章"	""	""
"th5000-cand-20260708-0977"	"PASS"	"放鬆"	""	""
"th5000-cand-20260708-0981"	"PASS"	"形狀"	""	""
"th5000-cand-20260708-0985"	"PASS"	"國內"	""	""
"th5000-cand-20260708-0989"	"PASS"	"這些"	""	""
"th5000-cand-20260708-0994"	"PASS"	"失去權利"	""	""
"th5000-cand-20260708-0998"	"PASS"	"太空船"	""	""
"th5000-cand-20260708-1002"	"PASS"	"彎曲"	""	""
"th5000-cand-20260708-1005"	"PASS"	"加入"	""	""
"th5000-cand-20260708-1008"	"PASS"	"方便"	""	""
"th5000-cand-20260708-1013"	"PASS"	"簽名"	""	""
"th5000-cand-20260708-1016"	"PASS"	"地板板材間的縫隙"	""	""
"th5000-cand-20260708-1019"	"PASS"	"很可能"	""	""
"th5000-cand-20260708-1023"	"PASS"	"只"	""	""
"th5000-cand-20260708-1027"	"PASS"	"選擇"	""	""
"th5000-cand-20260708-1031"	"PASS"	"勝利"	""	""
"th5000-cand-20260708-1034"	"PASS"	"我"	""	""
"th5000-cand-20260708-1037"	"PASS"	"是否"	""	""
"th5000-cand-20260708-1041"	"PASS"	"池"	""	""
"th5000-cand-20260708-1044"	"PASS"	"愛"	""	""
"th5000-cand-20260708-1049"	"PASS"	"出家時對年長親屬的尊稱"	""	""
"th5000-cand-20260708-1052"	"PASS"	"相比"	""	""
"th5000-cand-20260708-1056"	"PASS"	"作品"	""	""
"th5000-cand-20260708-1059"	"PASS"	"靠背"	""	""
"th5000-cand-20260708-1064"	"PASS"	"測試"	""	""
"th5000-cand-20260708-1067"	"PASS"	"穩固"	""	""
"th5000-cand-20260708-1070"	"PASS"	"向前推進"	""	""
"th5000-cand-20260708-1074"	"PASS"	"甜美"	""	""
"th5000-cand-20260708-1078"	"PASS"	"調整"	""	""
"th5000-cand-20260708-1081"	"PASS"	"根"	""	""
"th5000-cand-20260708-1084"	"PASS"	"特質"	""	""
"th5000-cand-20260708-1087"	"PASS"	"鐵"	""	""
"th5000-cand-20260708-1090"	"PASS"	"改為"	""	""
"th5000-cand-20260708-1093"	"PASS"	"教育"	""	""
"th5000-cand-20260708-1099"	"PASS"	"合約"	""	""
"th5000-cand-20260708-1102"	"PASS"	"總結"	""	""
"th5000-cand-20260708-1105"	"PASS"	"材料"	""	""
"th5000-cand-20260708-1109"	"PASS"	"護士"	""	""
"th5000-cand-20260708-1113"	"PASS"	"屈服"	""	""
"th5000-cand-20260708-1116"	"PASS"	"更多"	""	""
"th5000-cand-20260708-1119"	"PASS"	"快樂"	""	""
"th5000-cand-20260708-1122"	"PASS"	"每年"	""	""
"th5000-cand-20260708-1125"	"PASS"	"主題"	""	""
"th5000-cand-20260708-1129"	"PASS"	"知道"	""	""
"th5000-cand-20260708-1133"	"PASS"	"工廠"	""	""
"th5000-cand-20260708-1136"	"PASS"	"預算"	""	""
"th5000-cand-20260708-1139"	"PASS"	"保證"	""	""
"th5000-cand-20260708-1143"	"PASS"	"方式"	""	""
"th5000-cand-20260708-1147"	"PASS"	"一方"	""	""
"th5000-cand-20260708-1151"	"PASS"	"提出"	""	""
"th5000-cand-20260708-1154"	"PASS"	"股份"	""	""
"th5000-cand-20260708-1157"	"PASS"	"譴責"	""	""
"th5000-cand-20260708-1160"	"PASS"	"種姓"	""	""
"th5000-cand-20260708-1163"	"PASS"	"技術員"	""	""
"th5000-cand-20260708-1166"	"PASS"	"工具"	""	""
"th5000-cand-20260708-1171"	"PASS"	"晉升"	""	""
"th5000-cand-20260708-1174"	"PASS"	"評論"	""	""
"th5000-cand-20260708-1177"	"PASS"	"連同"	""	""
"th5000-cand-20260708-1180"	"PASS"	"修剪"	""	""
"th5000-cand-20260708-1186"	"PASS"	"風險"	""	""
"th5000-cand-20260708-1189"	"PASS"	"英勇地"	""	""
"th5000-cand-20260708-1193"	"PASS"	"意見"	""	""
"th5000-cand-20260708-1196"	"PASS"	"課程"	""	""
"th5000-cand-20260708-1199"	"PASS"	"管理"	""	""
"th5000-cand-20260708-1202"	"PASS"	"禁止"	""	""
"th5000-cand-20260708-1205"	"PASS"	"排列成行的物件"	""	""
"th5000-cand-20260708-1208"	"PASS"	"城市"	""	""
"th5000-cand-20260708-1211"	"PASS"	"管理"	""	""
"th5000-cand-20260708-1214"	"PASS"	"必須"	""	""
"th5000-cand-20260708-1217"	"PASS"	"現代化"	""	""
"th5000-cand-20260708-1222"	"PASS"	"相同"	""	""
"th5000-cand-20260708-1226"	"PASS"	"轉移"	""	""
"th5000-cand-20260708-1230"	"PASS"	"朋友"	""	""
"th5000-cand-20260708-1233"	"PASS"	"修剪"	""	""
"th5000-cand-20260708-1236"	"PASS"	"經濟"	""	""
"th5000-cand-20260708-1239"	"PASS"	"神龕"	""	""
"th5000-cand-20260708-1243"	"PASS"	"給"	""	""
"th5000-cand-20260708-1246"	"PASS"	"學生"	""	""
"th5000-cand-20260708-1249"	"PASS"	"賭徒"	""	""
"th5000-cand-20260708-1253"	"PASS"	"症狀"	""	""
"th5000-cand-20260708-1256"	"PASS"	"職銜"	""	""
"th5000-cand-20260708-1260"	"PASS"	"環繞"	""	""
"th5000-cand-20260708-1265"	"PASS"	"抓住"	""	""
"th5000-cand-20260708-1268"	"PASS"	"極佳"	""	""
"th5000-cand-20260708-1272"	"PASS"	"隱藏"	""	""
"th5000-cand-20260708-1275"	"PASS"	"確定"	""	""
"th5000-cand-20260708-1281"	"PASS"	"歡迎"	""	""
"th5000-cand-20260708-1284"	"PASS"	"公務"	""	""
"th5000-cand-20260708-1287"	"PASS"	"民眾"	""	""
"th5000-cand-20260708-1291"	"PASS"	"鑽石"	""	""
"th5000-cand-20260708-1294"	"PASS"	"官員"	""	""
"th5000-cand-20260708-1298"	"PASS"	"尖端"	""	""
"th5000-cand-20260708-1301"	"PASS"	"機構"	""	""
"th5000-cand-20260708-1305"	"PASS"	"泥沼"	""	""
"th5000-cand-20260708-1308"	"PASS"	"美麗"	""	""
"th5000-cand-20260708-1311"	"PASS"	"留下"	""	""
"th5000-cand-20260708-1315"	"PASS"	"諮詢"	""	""
"th5000-cand-20260708-1319"	"PASS"	"圖表"	""	""
"th5000-cand-20260708-1322"	"PASS"	"能力"	""	""
"th5000-cand-20260708-1325"	"PASS"	"優勢"	""	""
"th5000-cand-20260708-1328"	"PASS"	"銅合金"	""	""
"th5000-cand-20260708-1332"	"PASS"	"添加"	""	""
"th5000-cand-20260708-1335"	"PASS"	"前一個"	""	""
"th5000-cand-20260708-1339"	"PASS"	"精子"	""	""
"th5000-cand-20260708-1343"	"PASS"	"密謀"	""	""
"th5000-cand-20260708-1346"	"PASS"	"塞入"	""	""
"th5000-cand-20260708-1349"	"PASS"	"一流"	""	""
"th5000-cand-20260708-1352"	"PASS"	"被擊敗"	""	""
"th5000-cand-20260708-1357"	"PASS"	"適當"	""	""
"th5000-cand-20260708-1360"	"PASS"	"重要性"	""	""
"th5000-cand-20260708-1363"	"PASS"	"希望"	""	""
"th5000-cand-20260708-1367"	"PASS"	"直到"	""	""
"th5000-cand-20260708-1372"	"PASS"	"底部"	""	""
"th5000-cand-20260708-1376"	"PASS"	"成功"	""	""
"th5000-cand-20260708-1379"	"PASS"	"即興韻文"	""	""
"th5000-cand-20260708-1383"	"PASS"	"品種"	""	""
"th5000-cand-20260708-1387"	"PASS"	"猜"	""	""
"th5000-cand-20260708-1390"	"PASS"	"允許"	""	""
"th5000-cand-20260708-1394"	"PASS"	"數量"	""	""
"th5000-cand-20260708-1397"	"PASS"	"泰式沙拉"	""	""
"th5000-cand-20260708-1401"	"PASS"	"行為"	""	""
"th5000-cand-20260708-1404"	"PASS"	"塞住"	""	""
"th5000-cand-20260708-1407"	"PASS"	"慣例"	""	""
"th5000-cand-20260708-1413"	"PASS"	"填寫"	""	""
"th5000-cand-20260708-1417"	"PASS"	"完美"	""	""
"th5000-cand-20260708-1421"	"PASS"	"一種鼓"	""	""
"th5000-cand-20260708-1425"	"PASS"	"當"	""	""
"th5000-cand-20260708-1428"	"PASS"	"總是"	""	""
"th5000-cand-20260708-1431"	"PASS"	"非常"	""	""
"th5000-cand-20260708-1435"	"PASS"	"訊息"	""	""
"th5000-cand-20260708-1438"	"PASS"	"下沉"	""	""
"th5000-cand-20260708-1442"	"PASS"	"顏色深"	""	""
"th5000-cand-20260708-1446"	"PASS"	"迅速"	""	""
"th5000-cand-20260708-1450"	"PASS"	"番石榴"	""	""
"th5000-cand-20260708-1455"	"PASS"	"寮國"	""	""
"th5000-cand-20260708-1458"	"PASS"	"引導"	""	""
"th5000-cand-20260708-1462"	"PASS"	"一種泰國甜食"	""	""
"th5000-cand-20260708-1465"	"PASS"	"拔出"	""	""
"th5000-cand-20260708-1470"	"PASS"	"合作"	""	""
"th5000-cand-20260708-1473"	"PASS"	"站著"	""	""
"th5000-cand-20260708-1476"	"PASS"	"秒"	""	""
"th5000-cand-20260708-1482"	"PASS"	"等"	""	""
"th5000-cand-20260708-1485"	"PASS"	"交通"	""	""
"th5000-cand-20260708-1488"	"PASS"	"版權"	""	""
"th5000-cand-20260708-1493"	"PASS"	"倉庫"	""	""
"th5000-cand-20260708-1496"	"PASS"	"帶來"	""	""
"th5000-cand-20260708-1500"	"PASS"	"運河"	""	""
"th5000-cand-20260708-1503"	"PASS"	"控制"	""	""
"th5000-cand-20260708-1508"	"PASS"	"出生地"	""	""
"th5000-cand-20260708-1511"	"PASS"	"節約"	""	""
"th5000-cand-20260708-1515"	"PASS"	"輕易地"	""	""
"th5000-cand-20260708-1518"	"PASS"	"有錢"	""	""
"th5000-cand-20260708-1522"	"PASS"	"巷弄"	""	""
"th5000-cand-20260708-1527"	"PASS"	"壓碎"	""	""
"th5000-cand-20260708-1533"	"PASS"	"壓緊"	""	""
"th5000-cand-20260708-1537"	"PASS"	"比較"	""	""
"th5000-cand-20260708-1540"	"PASS"	"罐"	""	""
"th5000-cand-20260708-1543"	"PASS"	"全部"	""	""
"th5000-cand-20260708-1546"	"PASS"	"累積"	""	""
"th5000-cand-20260708-1549"	"PASS"	"小姐"	""	""
"th5000-cand-20260708-1552"	"PASS"	"告訴"	""	""
"th5000-cand-20260708-1556"	"PASS"	"眾議院秘書處"	""	""
"th5000-cand-20260708-1560"	"PASS"	"規則"	""	""
"th5000-cand-20260708-1564"	"PASS"	"竭盡全力"	""	""
"th5000-cand-20260708-1567"	"PASS"	"反覆"	""	""
"th5000-cand-20260708-1570"	"PASS"	"注入"	""	""
"th5000-cand-20260708-1574"	"PASS"	"合作"	""	""
"th5000-cand-20260708-1577"	"PASS"	"技術"	""	""
"th5000-cand-20260708-1580"	"PASS"	"環境"	""	""
"th5000-cand-20260708-1584"	"PASS"	"財產"	""	""
"th5000-cand-20260708-1591"	"PASS"	"侵蝕"	""	""
"th5000-cand-20260708-1597"	"PASS"	"克"	""	""
"th5000-cand-20260708-1600"	"PASS"	"支票"	""	""
"th5000-cand-20260708-1603"	"PASS"	"下面"	""	""
"th5000-cand-20260708-1606"	"PASS"	"建造"	""	""
"th5000-cand-20260708-1610"	"PASS"	"香煙"	""	""
"th5000-cand-20260708-1615"	"PASS"	"效果"	""	""
"th5000-cand-20260708-1618"	"PASS"	"按鈕"	""	""
"th5000-cand-20260708-1622"	"PASS"	"情況"	""	""
"th5000-cand-20260708-1625"	"PASS"	"大多數"	""	""
"th5000-cand-20260708-1628"	"PASS"	"速度"	""	""
"th5000-cand-20260708-1631"	"PASS"	"流通"	""	""
"th5000-cand-20260708-1634"	"PASS"	"一塊土地"	""	""
"th5000-cand-20260708-1637"	"PASS"	"一直"	""	""
"th5000-cand-20260708-1641"	"PASS"	"方向"	""	""
"th5000-cand-20260708-1648"	"PASS"	"行銷"	""	""
"th5000-cand-20260708-1651"	"PASS"	"建議"	""	""
"th5000-cand-20260708-1654"	"PASS"	"植被"	""	""
"th5000-cand-20260708-1657"	"PASS"	"一束"	""	""
"th5000-cand-20260708-1660"	"PASS"	"提案"	""	""
"th5000-cand-20260708-1663"	"PASS"	"女"	""	""
"th5000-cand-20260708-1667"	"PASS"	"張開的"	""	""
"th5000-cand-20260708-1671"	"PASS"	"吸引"	""	""
"th5000-cand-20260708-1674"	"PASS"	"土地"	""	""
"th5000-cand-20260708-1678"	"PASS"	"複雜化"	""	""
"th5000-cand-20260708-1681"	"PASS"	"決議"	""	""
"th5000-cand-20260708-1686"	"PASS"	"優秀"	""	""
"th5000-cand-20260708-1690"	"PASS"	"僅僅"	""	""
"th5000-cand-20260708-1693"	"PASS"	"東"	""	""
"th5000-cand-20260708-1696"	"PASS"	"學位"	""	""
"th5000-cand-20260708-1699"	"PASS"	"核心"	""	""
"th5000-cand-20260708-1702"	"PASS"	"動員"	""	""
"th5000-cand-20260708-1705"	"PASS"	"提高效率"	""	""
"th5000-cand-20260708-1710"	"PASS"	"突出點"	""	""
