source_candidate_id	normalized_lemma	pos	yaitron_entry_id	translation_en	similar_translations_en	headword_entry_count	headword_pos_values	translation_zh_tw_candidate	candidate_status
th5000-cand-20260708-0196	โร	adj	17307	swollen (used descriptive of the abdomen in conditions like worms in children)	distended	1	adj	腹部腫脹（尤指兒童因寄生蟲等造成的狀況）	authored_needs_review
th5000-cand-20260708-0199	ง่า	v	12815	stretch	spread; extend; widen	1	v	伸展	authored_needs_review
th5000-cand-20260708-0205	เรื่อ	adj	5935	pale	light; faint; faded	1	adj	蒼白	authored_needs_review
th5000-cand-20260708-0214	สบ	n	6319	junction		3	n;v	交界處	authored_needs_review
th5000-cand-20260708-0217	ต่าง	n	21605	pack-saddle		10	adj;adv;det;n;v	馱鞍	authored_needs_review
th5000-cand-20260708-0220	ข้อมูล	n	10404	data	information	1	n	資料	authored_needs_review
th5000-cand-20260708-0223	กว่า	adv	31341	more	more than	3	adv;det;prep	更多	authored_needs_review
th5000-cand-20260708-0227	เครื่อง	n	12469	tool	instrument; apparatus; appliance; implement; equipment	3	n	工具	authored_needs_review
th5000-cand-20260708-0231	ทศ	n	24453	ten		1	n	十	authored_needs_review
th5000-cand-20260708-0234	ดับ	v	38305	switch off	turn off; put out	1	v	關掉	authored_needs_review
th5000-cand-20260708-0239	งด	v	12757	stop	halt; discontinue; cease; give up; quit; cancel	1	v	停止	authored_needs_review
th5000-cand-20260708-0242	จอ	n	32985	screen	telescreen	2	n	螢幕	authored_needs_review
th5000-cand-20260708-0248	ยล	v	26945	look	gaze; regard; stare; scrutiny; contemplation; visual search; glance	1	v	看看	authored_needs_review
th5000-cand-20260708-0257	สว	n	1667	The Secretariat of the Senate		1	n	參議院秘書處	authored_needs_review
th5000-cand-20260708-0262	สมา	n	18706	year		2	n;v	年	authored_needs_review
th5000-cand-20260708-0268	ฝา	n	13837	partition	wall	2	n	隔板；隔間	authored_needs_review
th5000-cand-20260708-0273	ก่อ	v	31371	light (a fire)	start (a fire); build (a fire)	5	v	生火；點火	authored_needs_review
th5000-cand-20260708-0280	ฝาก	v	13846	deposit	entrust; leave with somebody; place under the care of	1	v	寄放；託付	authored_needs_review
th5000-cand-20260708-0283	ศึก	n	6276	campaign	fight; battle; conflict	2	n	戰役	authored_needs_review
th5000-cand-20260708-0288	ใช้งาน	v	40204	be usable	be accessible; be practicable; be employable	1	v	可用	authored_needs_review
th5000-cand-20260708-0291	ดง	n	29046	jungle	forest; plantation; thick forest	2	n	叢林	authored_needs_review
th5000-cand-20260708-0297	ร่วม	v	9300	join in	participate; associate with; be affiliated with; partake; have a portion of	2	adv;v	加入	authored_needs_review
th5000-cand-20260708-0302	ตุ	adj	22788	stinky	smelly; foul-smelling; stuffy-smelling	1	adj	臭的	authored_needs_review
th5000-cand-20260708-0310	แจ	n	33370	vegetarian food	vegetarian diet	2	adv;n	素食	authored_needs_review
th5000-cand-20260708-0313	ยอด	n	26977	peak	top; summit; apex; crest; the highest point	2	n	尖峰	authored_needs_review
th5000-cand-20260708-0316	สิทธิ	n	3332	authority		2	n	權限	authored_needs_review
th5000-cand-20260708-0322	อาจ	v	8263	could	might; may	3	adj;adv;aux	可以	authored_needs_review
th5000-cand-20260708-0325	โบ	n	25963	ribbon	bow	1	n	絲帶	authored_needs_review
th5000-cand-20260708-0329	ร่า	adv	26735	cheerfully	happily; joyfully	2	adv	愉快地	authored_needs_review
th5000-cand-20260708-0332	ห้อ	v	36139	bruise	contuse	2	v	瘀青	authored_needs_review
th5000-cand-20260708-0337	หาก	conj	6624	if	provided that; in case of; in the event of	1	conj	如果	authored_needs_review
th5000-cand-20260708-0341	เช่น	adp	28590	like	as	2	conj;prep	像；例如	authored_needs_review
th5000-cand-20260708-0344	ทอ	v	24446	weave		1	v	編織	authored_needs_review
th5000-cand-20260708-0347	พื้น	n	14898	floor	ground; surface	1	n	地板	authored_needs_review
th5000-cand-20260708-0350	ทัน	v	24152	catch up with	overtake; keep abreast of	3	adv;v	趕上	authored_needs_review
th5000-cand-20260708-0354	สิ่ง	n	12119	thing	article; matter	2	n	東西	authored_needs_review
th5000-cand-20260708-0357	ริม	n	38843	foot	base; pedestal; rim; edge; border; side; tip	1	n	腳	authored_needs_review
th5000-cand-20260708-0360	ผลิ	v	16826	bud	blossom; bloom; sprout	1	v	發芽；萌芽	authored_needs_review
th5000-cand-20260708-0363	ข่า	n	10035	hill tribe of Mon-Khmer stock living in the north of Thailand		3	n	居住在泰國北部的孟高棉族山地部落	authored_needs_review
th5000-cand-20260708-0367	โลก	n	2926	world	earth	2	n	世界	authored_needs_review
th5000-cand-20260708-0372	พิมพ์	n	14769	mold	pattern; frame	3	n;v	模具	authored_needs_review
th5000-cand-20260708-0377	เติม	v	8770	add	add more; fill; increase	1	v	添加	authored_needs_review
th5000-cand-20260708-0381	เปล	n	16432	cradle	hammock; stretcher	1	n	搖籃	authored_needs_review
th5000-cand-20260708-0385	แข	n	10948	moon		1	n	月亮	authored_needs_review
th5000-cand-20260708-0389	พอ	adv	14413	enough	sufficiently; adequately	2	adv;conj	夠了	authored_needs_review
th5000-cand-20260708-0393	ควร	v	32616	should	ought to	1	aux	應該	authored_needs_review
th5000-cand-20260708-0397	วิธ	n	18253	sort	kind; section	1	n	種類	authored_needs_review
th5000-cand-20260708-0400	เอียด	adj	19944	little	small; tiny; minuscule	1	adj	細小的	authored_needs_review
th5000-cand-20260708-0405	ด้อย	v	33671	inferior	poorer; lower; low-grade	1	v	較差；不如	authored_needs_review
th5000-cand-20260708-0410	เศษ	n	18531	fraction		4	det;n	分數	authored_needs_review
th5000-cand-20260708-0414	ให้บริการ	v	3891	service	provide service; serve	1	v	提供服務	authored_needs_review
th5000-cand-20260708-0419	ไว้	v	2941	keep	save; store; hold	1	v	保留	authored_needs_review
th5000-cand-20260708-0422	จ่า	n	33116	sergeant	sergeant major	3	n;v	中士	authored_needs_review
th5000-cand-20260708-0425	ทด	n	23561	dike	dam	3	n;v	堤防	authored_needs_review
th5000-cand-20260708-0428	ครบ	adv	31101	altogether	completely; wholly; fully; in full; all	1	adv	總共	authored_needs_review
th5000-cand-20260708-0431	จึง	adv	33267	then	therefore; consequently; accordingly	1	adv	然後	authored_needs_review
th5000-cand-20260708-0434	พิเศษ	adj	14825	special	extraordinary	2	adj;adv	特別的	authored_needs_review
th5000-cand-20260708-0437	เครดิต	n	12494	credit	trust; belief; confidence; reliance; faith	1	n	信用	authored_needs_review
th5000-cand-20260708-0440	ข่าว	n	10152	news		2	n	新聞	authored_needs_review
th5000-cand-20260708-0444	บิ	v	25557	break off		1	v	折斷	authored_needs_review
th5000-cand-20260708-0449	เปลี่ยน	v	16452	vary	alter; vary; transform; change	1	v	變化	authored_needs_review
th5000-cand-20260708-0453	สถาน	n	3038	place		4	n	地方	authored_needs_review
th5000-cand-20260708-0457	เพิ่มเติม	v	9640	add	increase; append; augment; mount; raise; supplement; attach	1	v	添加	authored_needs_review
th5000-cand-20260708-0460	ติดต่อ	v	22402	connect	make contact with; communicate; get in touch with; adjoin; associate with;	3	adv;v	連接	authored_needs_review
th5000-cand-20260708-0466	ระกา	n	26186	year of the chicken	the 10th year of the Thai animal cycle represented by a cock; year of the cock	1	n	雞年	authored_needs_review
th5000-cand-20260708-0469	สุข	n	3366	happiness	cheerfulness; delight; enjoyment	2	n;v	幸福	authored_needs_review
th5000-cand-20260708-0475	ยิ่ง	v	35556	much		4	adv;aux	很多	authored_needs_review
th5000-cand-20260708-0483	ครา	n	31167	time	occasion; event	2	clas;n	時間	authored_needs_review
th5000-cand-20260708-0488	สะดวก	v	3188	be convenient	be comfortable; be easy to	4	adj;adv;v	方便	authored_needs_review
th5000-cand-20260708-0491	ลูกค้า	n	7029	customer	client; shopper; purchaser; regular	1	n	顧客	authored_needs_review
th5000-cand-20260708-0497	ข้าม	v	10041	skip	leave out; pass over; overlook	3	v	跳過	authored_needs_review
th5000-cand-20260708-0504	เหตุ	n	7845	reason	cause	3	conj;n	原因	authored_needs_review
th5000-cand-20260708-0508	คง	v	10599	may	may be; probably; might	1	aux	可能	authored_needs_review
th5000-cand-20260708-0511	จำกัด	v	33168	limit	restrict; confine	1	v	限制	authored_needs_review
th5000-cand-20260708-0517	กุ	v	9769	lie	equivocate; fib; palter; prevaricate; fabricate	1	v	說謊	authored_needs_review
th5000-cand-20260708-0521	ภู	n	4449	mountain		1	n	山	authored_needs_review
th5000-cand-20260708-0524	ศาสตร์	n	2972	science		2	n	科學	authored_needs_review
th5000-cand-20260708-0528	พื้นที่	n	14907	area		2	n	面積	authored_needs_review
th5000-cand-20260708-0533	เอก	n	19818	one		5	adj;n	一	authored_needs_review
th5000-cand-20260708-0536	เกี่ยวกับ	v	9934	concern	involve; relate; connect	2	prep;v	涉及；關於	authored_needs_review
th5000-cand-20260708-0539	วารสาร	n	7167	journal	periodical	1	n	期刊	authored_needs_review
th5000-cand-20260708-0542	วัต	n	18132	religious routine	religious duties; religious practice	2	n	宗教儀式	authored_needs_review
th5000-cand-20260708-0545	ปุ	v	15750	mend	patch; repair; fix	2	adv;v	修補	authored_needs_review
th5000-cand-20260708-0548	จัก	v	33021	will	shall	1	aux	會	authored_needs_review
th5000-cand-20260708-0553	จาร	v	33152	inscribe	engrave, write with a stylus	1	v	銘刻	authored_needs_review
th5000-cand-20260708-0556	รี่	v	6823	go straight in	make straight for; rush; approach directly in; dash directly in	4	adv;v	直接進去	authored_needs_review
th5000-cand-20260708-0559	จังหวัด	n	33056	province		1	n	府（泰國行政區）	authored_needs_review
th5000-cand-20260708-0566	ล่อ	n	6976	mule		3	n;v	騾子	authored_needs_review
th5000-cand-20260708-0569	คค	n	1399	Ministry of Transport and Communications		1	n	交通運輸部	authored_needs_review
th5000-cand-20260708-0572	บุรี	n	26033	city	town	1	n	城市	authored_needs_review
th5000-cand-20260708-0576	รูปแบบ	n	3797	format		1	n	格式	authored_needs_review
th5000-cand-20260708-0580	เภท	n	8217	division	allocation; apportionment; separation; split	5	n;v	部門；類別	authored_needs_review
th5000-cand-20260708-0585	การใช้งาน	n	3473	usability		1	n	可用性	authored_needs_review
th5000-cand-20260708-0589	รวดเร็ว	v	16116	be fast	be rapid; be quick; be speedy; be swift	2	adv;v	快速；很快	authored_needs_review
th5000-cand-20260708-0593	ชุด	n	28504	group	set; series; team; collection; session	3	clas;n	一組	authored_needs_review
th5000-cand-20260708-0597	เข้าสู่	v	10923	reach	enter; approach	1	v	達到	authored_needs_review
th5000-cand-20260708-0601	ภายใน	adj	9567	internal	interior; inside; inner	3	adj;prep	內部	authored_needs_review
th5000-cand-20260708-0604	แต่ง	v	23022	decorate	adorn; ornament; embellish; beautify; garnish	4	v	裝飾	authored_needs_review
th5000-cand-20260708-0607	ทดลอง	v	23566	test	experiment; try	1	v	測試	authored_needs_review
th5000-cand-20260708-0611	อุปกรณ์	n	12039	tool	instrument; apparatus; appliance; implement; equipment	1	n	工具	authored_needs_review
th5000-cand-20260708-0615	รวมทั้ง	v	35574	include	consist of; comprise; incorporate; involve; embrace	1	v	包括	authored_needs_review
th5000-cand-20260708-0619	ทางการ	n	24714	government authorities	government	1	n	政府機關	authored_needs_review
th5000-cand-20260708-0623	การศึกษา	n	30869	education	study; learning	1	n	教育	authored_needs_review
th5000-cand-20260708-0630	ประสิทธิภาพ	n	27631	efficiency	capability; ability; capacity	1	n	效率	authored_needs_review
th5000-cand-20260708-0634	ความปลอดภัย	n	37895	safety	security	1	n	安全	authored_needs_review
th5000-cand-20260708-0640	คุก	n	12296	prison	jail; goal	1	n	監獄	authored_needs_review
th5000-cand-20260708-0644	องค์	n	6694	numerative noun for kings, princes, princesses, priests, images of Buddha, gods, palaces, pagodas		2	n	量詞，用於國王、王子、公主、僧侶、佛像、神祇、宮殿及佛塔	authored_needs_review
th5000-cand-20260708-0647	ทะเบียน	n	24033	register	list; record	1	n	登記簿；名冊	authored_needs_review
th5000-cand-20260708-0651	อนุ	adj	36838	small	minor; junior; sub	1	adj	小	authored_needs_review
th5000-cand-20260708-0657	เพื่อให้	conj	4344	in order that	in order to	1	conj	為了	authored_needs_review
th5000-cand-20260708-0660	คุ้ม	n	12326	residence of a Lao prince in the north of Thailand		5	n;v	泰國北部寮國王子的住所	authored_needs_review
th5000-cand-20260708-0665	เหลือ	v	12060	remain	leave	2	adj;v	留下來	authored_needs_review
th5000-cand-20260708-0670	รักษา	v	35602	preserve	keep; protect	3	v	保存；保護	authored_needs_review
th5000-cand-20260708-0673	บุคคล	n	25664	person	individual; people	1	n	人	authored_needs_review
th5000-cand-20260708-0677	มือถือ	n	508	cellphone	mobile phone	1	n	手機；行動電話	authored_needs_review
th5000-cand-20260708-0684	วิว	n	7246	view	landscape; panorama; perspective; scene	1	n	景色；視野	authored_needs_review
th5000-cand-20260708-0687	ท่อ	n	24445	tube	pipe	1	n	管	authored_needs_review
th5000-cand-20260708-0690	เขต	n	10866	area	boundary; border; region; zone	1	n	區域	authored_needs_review
th5000-cand-20260708-0693	สูงสุด	adj	3389	highest	utmost	3	adj	最高	authored_needs_review
th5000-cand-20260708-0699	มากขึ้น	v	4371	increase		2	adv;v	增加	authored_needs_review
th5000-cand-20260708-0703	เดินทาง	v	21033	travel	tour; take a trip; journey; voyage	2	v	旅行	authored_needs_review
th5000-cand-20260708-0706	เสี่ยง	n	35873	piece (of)	fragment; portion; part (of)	3	n;v	一塊（的）	authored_needs_review
th5000-cand-20260708-0710	รหัส	n	5787	code	secret; cypher; cipher	1	n	代碼；編碼	authored_needs_review
th5000-cand-20260708-0714	ความรู้	n	32891	knowledge	information; awareness	1	n	知識	authored_needs_review
th5000-cand-20260708-0717	วิชา	n	7181	subject	knowledge; branch of knowledge; science; technology; learning	1	n	科目	authored_needs_review
th5000-cand-20260708-0721	อย่างไร	part	38987	how	what	1	ques	如何	authored_needs_review
th5000-cand-20260708-0725	อัตรา	n	6757	rank	position	2	n	等級	authored_needs_review
th5000-cand-20260708-0729	มอบ	n	9240	muzzle		3	n;v	槍口	authored_needs_review
th5000-cand-20260708-0733	นิค	n	1467	NIC	newly industrialized country	1	n	網路介面卡	authored_needs_review
th5000-cand-20260708-0736	ติดตา	v	22449	graft		2	v	嫁接	authored_needs_review
th5000-cand-20260708-0740	มั่นใจ	v	9220	be confident	be full of confidence; be assured of; be certain, believe firmly; be convinced	2	adv;v	有信心	authored_needs_review
th5000-cand-20260708-0744	เข้าถึง	v	10969	appreciate	regard	2	v	欣賞	authored_needs_review
th5000-cand-20260708-0747	เข้าสู่ระบบ	v	2392	log in	logs in; log on; logs on; logs into	1	v	登入	authored_needs_review
th5000-cand-20260708-0750	เหล่า	n	39740	(armed) services	arm of national defence; corps	3	clas;n	軍種	authored_needs_review
th5000-cand-20260708-0755	อาย	v	12032	be ashamed	be pale from shame; suffer shame; be embarrassed	2	v	感到羞恥	authored_needs_review
th5000-cand-20260708-0759	ติดตั้ง	v	22447	install	fix; set up	1	v	安裝	authored_needs_review
th5000-cand-20260708-0763	แจก	v	33371	distribute	give out; hand out; dole out; allot; apportion	1	v	分發；發放	authored_needs_review
th5000-cand-20260708-0766	แปลง	n	16626	plot	bed; garden; nursery	4	clas;n;v	地塊；小塊土地	authored_needs_review
th5000-cand-20260708-0769	ตรวจสอบ	v	34136	check	verify; investigate; examine	1	v	檢查	authored_needs_review
th5000-cand-20260708-0774	พลัง	n	14321	power	strength; force; might	2	n	力量；能量	authored_needs_review
th5000-cand-20260708-0777	ลำ	n	6064	trunk	body; stalk	2	clas;n	樹幹	authored_needs_review
th5000-cand-20260708-0780	ดวง	n	33575	disk/disc	sphere; orb; circle; dot; spot; speckle	2	clas;n	圓盤；圓片	authored_needs_review
th5000-cand-20260708-0784	แน่นอน	adv	16002	certainly	surely; definitely	1	adv	當然	authored_needs_review
th5000-cand-20260708-0787	สิทธิ์	n	3331	right		3	n	權利	authored_needs_review
th5000-cand-20260708-0790	งาม	v	12857	be beautiful	be pleasing; be satisfying; be good-looking; be lovely; be pretty; be delightful	1	v	美麗；很美	authored_needs_review
th5000-cand-20260708-0793	มากกว่า	adv	4243	more than		1	adv	超過	authored_needs_review
th5000-cand-20260708-0797	เหมาะสม	v	36522	be proper	suit; fit; be suitable; be appropriate	2	adv;v	得體	authored_needs_review
th5000-cand-20260708-0800	ดูด	v	33942	absorb		2	v	吸收	authored_needs_review
th5000-cand-20260708-0806	เกี่ยวข้อง	v	9935	relate	concern; involve; connect; deal; link	1	v	關聯	authored_needs_review
th5000-cand-20260708-0809	จม	v	38456	sink	submerge	1	v	沉沒；下沉	authored_needs_review
th5000-cand-20260708-0812	เด่	adv	33963	erect	upright	1	adv	直立	authored_needs_review
th5000-cand-20260708-0815	เกิน	adv	9869	far	too much; over; more; further	1	adv	遠	authored_needs_review
th5000-cand-20260708-0818	ปัจจุบัน	adv	13121	at present	now; at this time; currently; at the present moment	1	adv	媒介	authored_needs_review
th5000-cand-20260708-0821	สื่อ	n	37468	medium	intermediary; vehicle; a form of communication; means (of communication)	3	n;v	中等	authored_needs_review
th5000-cand-20260708-0826	ค้นหา	v	31062	search for	seek for; explore; look through; look for; dig for; find	1	v	搜尋	authored_needs_review
th5000-cand-20260708-0829	รวมถึง	v	9303	include	comprise; embrace	1	v	包括	authored_needs_review
th5000-cand-20260708-0833	ถ่าย	v	23354	transfer	pass on	3	v	轉移	authored_needs_review
th5000-cand-20260708-0839	ขณะ	conj	32211	while	meanwhile; in the meantime; meantime	1	conj	當……時；在……期間	authored_needs_review
th5000-cand-20260708-0843	จิต	n	33217	mind	heart; thoughts	1	n	頭腦	authored_needs_review
th5000-cand-20260708-0846	นาง	n	24990	Mrs.	mistress; madame	2	n	夫人	authored_needs_review
th5000-cand-20260708-0850	ที่มา	n	34324	origin	source; cause	1	n	起源	authored_needs_review
th5000-cand-20260708-0855	สัมผัส	n	3254	rhyme		7	n;v	韻	authored_needs_review
th5000-cand-20260708-0858	สุขภาพ	n	3367	health		2	n	健康	authored_needs_review
th5000-cand-20260708-0862	ยอม	v	17143	give in	surrender; yield	3	v	讓步	authored_needs_review
th5000-cand-20260708-0865	ชัด	v	28095	be clear	be sharp; be distinct; be obvious	3	adj;adv;v	清楚；明確	authored_needs_review
th5000-cand-20260708-0868	ครอบ	n	31132	lid	cover	2	n;v	蓋子	authored_needs_review
th5000-cand-20260708-0871	ท้อ	n	24443	peach		2	n;v	桃子	authored_needs_review
th5000-cand-20260708-0876	สาขา	n	3262	branch		3	clas;n	分支；分店	authored_needs_review
th5000-cand-20260708-0879	ขั้นตอน	n	10382	step	procedure	1	n	步驟	authored_needs_review
th5000-cand-20260708-0883	ทึก	n	34372	water		2	n;v	水	authored_needs_review
th5000-cand-20260708-0887	ศรี	n	2950	honour	glory; fame; renown	1	n	榮譽	authored_needs_review
th5000-cand-20260708-0892	เผย	v	16135	reveal a secret	disclose; divulge; ooze up; let the cat out of the bag; spill the beans	1	v	洩漏秘密	authored_needs_review
th5000-cand-20260708-0895	ลงทะเบียน	v	17432	register		1	v	註冊	authored_needs_review
th5000-cand-20260708-0901	คนที	n	30996	jug		1	n	壺	authored_needs_review
th5000-cand-20260708-0904	ยัน	v	11828	insist	verify; confirm; attest	4	prep;v	堅持	authored_needs_review
th5000-cand-20260708-0908	ปรุ	v	27512	perforate	make holes in; punch holes; be holed	3	adj;adv;v	穿孔	authored_needs_review
th5000-cand-20260708-0911	ปรุง	v	27510	cook	mix; concoct; dress; blend; prepare; combine	1	v	烹調；調製	authored_needs_review
th5000-cand-20260708-0915	พง	n	13961	thicket	clump; brush	1	n	灌木叢	authored_needs_review
th5000-cand-20260708-0920	วงจร	n	3806	cycle		2	n	循環	authored_needs_review
th5000-cand-20260708-0924	ชก	v	27773	box	punch; pummel; strike; smash	1	v	拳擊；揮拳	authored_needs_review
th5000-cand-20260708-0927	สำนักงาน	n	3305	office		2	n	辦公室	authored_needs_review
th5000-cand-20260708-0930	การพัฒนา	n	3479	development	progress	1	n	發展	authored_needs_review
th5000-cand-20260708-0933	เสมอ	v	16105	be equal	be even; be balanced	2	adv;v	相等	authored_needs_review
th5000-cand-20260708-0936	ควบคุม	v	32612	control	command; govern	2	v	控制	authored_needs_review
th5000-cand-20260708-0939	โป๊	v	16654	mend	repair; fix; patch; renovate	2	adj;v	修補	authored_needs_review
th5000-cand-20260708-0945	เมตร	clf	5607	metre	meter	1	clas	米	authored_needs_review
th5000-cand-20260708-0948	ตื่นเต้น	v	22782	be excited	be thrilled; be nervous	2	v	興奮	authored_needs_review
th5000-cand-20260708-0951	กรรมการ	n	29523	referee	judge; umpire	2	n	裁判員	authored_needs_review
th5000-cand-20260708-0955	ความคิด	n	32689	though	idea; notion	1	n	想法；思想	authored_needs_review
th5000-cand-20260708-0958	ความนิยม	n	37752	favor	appreciation; popularity; liking; approval	1	n	青睞	authored_needs_review
th5000-cand-20260708-0962	เอเย่นต์	n	19608	agent		2	n	代理人	authored_needs_review
th5000-cand-20260708-0965	ได้มา	v	21245	obtain	gain; get; acquire	1	v	獲得	authored_needs_review
th5000-cand-20260708-0969	หลังจาก	adv	6594	after		1	adv	之後	authored_needs_review
th5000-cand-20260708-0974	ชนิด	n	33443	kind	sort; type	1	n	種類	authored_needs_review
th5000-cand-20260708-0978	ทีมงาน	n	250	work team	working team	1	n	工作團隊	authored_needs_review
th5000-cand-20260708-0982	ท่องเที่ยว	v	24078	tour	travel; go sightseeing	1	v	遊覽	authored_needs_review
th5000-cand-20260708-0987	ย่อ	v	4891	round	make something round	4	adv;v	使成圓形	authored_needs_review
th5000-cand-20260708-0991	แหล่ง	n	3423	source		2	n	來源	authored_needs_review
th5000-cand-20260708-0995	แผ่	v	35304	give	dedicate	3	adv;v	給予	authored_needs_review
th5000-cand-20260708-1000	เป้า	n	4991	crotch (of trousers)		7	n	（褲子的）胯部	authored_needs_review
th5000-cand-20260708-1003	ยอดนิยม	adj	497	highly popular	highly fashionable	1	adj	非常受歡迎	authored_needs_review
th5000-cand-20260708-1006	อุตสาหกรรม	n	3893	industry		1	n	工業	authored_needs_review
th5000-cand-20260708-1009	สไตล์	n	3037	style		2	n	風格	authored_needs_review
th5000-cand-20260708-1014	จำหน่าย	v	33202	get rid of	dispose of	2	v	擺脫	authored_needs_review
th5000-cand-20260708-1017	สนุกสนาน	v	3072	amuse	be enjoyable; keep pleasantly	3	adv;v	逗樂	authored_needs_review
th5000-cand-20260708-1020	แตกต่าง	v	22996	be different	be unlike; be dissimilar; differ from	1	v	不同	authored_needs_review
th5000-cand-20260708-1025	สมบัติ	n	3089	property		3	n	財產	authored_needs_review
th5000-cand-20260708-1029	ตัวเลือก	n	21344	choice	selectness	2	n	選項	authored_needs_review
th5000-cand-20260708-1032	ที่สาม	n	34351	third		1	n	第三	authored_needs_review
th5000-cand-20260708-1035	แรม	n	1608	Random Access Memory	RAM	4	n;v	隨機存取記憶體	authored_needs_review
th5000-cand-20260708-1039	จัดส่ง	v	3599	send	transfer	1	v	傳送	authored_needs_review
th5000-cand-20260708-1042	ฝ่า	n	13840	palm (of hand); sole (of foot)		2	n;v	手掌；腳底	authored_needs_review
th5000-cand-20260708-1045	กรณี	n	29424	case	circumstance; event; incident	2	clas;n	情況；案件	authored_needs_review
th5000-cand-20260708-1050	เชิง	n	28585	foot	base; pedestal	2	n	腳	authored_needs_review
th5000-cand-20260708-1053	ต่อเนื่อง	v	22284	continue	maintain; persist; sustain; carry on; go on; keep on	2	adv;v	繼續	authored_needs_review
th5000-cand-20260708-1057	เกิดขึ้น	v	9854	happen	occur; arise; rise; spring; bring about; produce	1	v	發生	authored_needs_review
